@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
51,0,1798,293,0.859876,1,0.027582,1,0.972418,0.053684,0.863212,1.158464,0
51,0,1797,294,0.859397,1,0.027597,1,0.972403,0.053712,0.862745,1.159091,0
51,0,1796,295,0.858919,1,0.027612,1,0.972388,0.053741,0.862278,1.159718,0
51,0,1795,296,0.858441,1,0.027627,1,0.972373,0.053769,0.861811,1.160347,0
51,0,1794,297,0.857963,1,0.027642,1,0.972358,0.053797,0.861345,1.160976,0
51,0,1793,298,0.857484,1,0.027657,1,0.972343,0.053826,0.860878,1.161605,0
51,0,1792,299,0.857006,1,0.027672,1,0.972328,0.053854,0.860411,1.162235,0
51,0,1791,300,0.856528,1,0.027687,1,0.972313,0.053883,0.859944,1.162866,0
51,0,1790,301,0.85605,1,0.027702,1,0.972298,0.053911,0.859477,1.163498,0
51,0,1789,302,0.855571,1,0.027717,1,0.972283,0.05394,0.85901,1.16413,0
51,0,1788,303,0.855093,1,0.027732,1,0.972268,0.053968,0.858543,1.164763,0
51,0,1787,304,0.854615,1,0.027748,1,0.972252,0.053997,0.858077,1.165397,0
51,0,1786,305,0.854137,1,0.027763,1,0.972237,0.054025,0.85761,1.166032,0
51,0,1785,306,0.853659,1,0.027778,1,0.972222,0.054054,0.857143,1.166667,0
51,0,1784,307,0.85318,1,0.027793,1,0.972207,0.054083,0.856676,1.167302,0
51,0,1783,308,0.852702,1,0.027808,1,0.972192,0.054111,0.856209,1.167939,0
51,0,1782,309,0.852224,1,0.027823,1,0.972177,0.05414,0.855742,1.168576,0
51,0,1781,310,0.851746,1,0.027838,1,0.972162,0.054169,0.855275,1.169214,0
51,0,1780,311,0.851267,1,0.027854,1,0.972146,0.054198,0.854809,1.169853,0
51,0,1779,312,0.850789,1,0.027869,1,0.972131,0.054226,0.854342,1.170492,0
